,filename,train mask
0,image2D_id-1 0.png,infect2D_id-1 0.png
1,image2D_id-1 1.png,infect2D_id-1 1.png
2,image2D_id-1 2.png,infect2D_id-1 2.png
3,image2D_id-1 3.png,infect2D_id-1 3.png
4,image2D_id-1 4.png,infect2D_id-1 4.png
5,image2D_id-1 5.png,infect2D_id-1 5.png
6,image2D_id-1 6.png,infect2D_id-1 6.png
7,image2D_id-1 7.png,infect2D_id-1 7.png
8,image2D_id-1 8.png,infect2D_id-1 8.png
9,image2D_id-1 9.png,infect2D_id-1 9.png
10,image2D_id-1 10.png,infect2D_id-1 10.png
11,image2D_id-1 11.png,infect2D_id-1 11.png
12,image2D_id-1 12.png,infect2D_id-1 12.png
13,image2D_id-1 13.png,infect2D_id-1 13.png
14,image2D_id-1 14.png,infect2D_id-1 14.png
15,image2D_id-1 15.png,infect2D_id-1 15.png
16,image2D_id-1 16.png,infect2D_id-1 16.png
17,image2D_id-1 17.png,infect2D_id-1 17.png
18,image2D_id-1 18.png,infect2D_id-1 18.png
19,image2D_id-1 19.png,infect2D_id-1 19.png
20,image2D_id-1 20.png,infect2D_id-1 20.png
21,image2D_id-1 21.png,infect2D_id-1 21.png
22,image2D_id-1 22.png,infect2D_id-1 22.png
23,image2D_id-1 23.png,infect2D_id-1 23.png
24,image2D_id-1 24.png,infect2D_id-1 24.png
25,image2D_id-1 25.png,infect2D_id-1 25.png
26,image2D_id-1 26.png,infect2D_id-1 26.png
27,image2D_id-1 27.png,infect2D_id-1 27.png
28,image2D_id-1 28.png,infect2D_id-1 28.png
29,image2D_id-1 29.png,infect2D_id-1 29.png
30,image2D_id-1 30.png,infect2D_id-1 30.png
31,image2D_id-1 31.png,infect2D_id-1 31.png
32,image2D_id-1 32.png,infect2D_id-1 32.png
33,image2D_id-1 33.png,infect2D_id-1 33.png
34,image2D_id-1 34.png,infect2D_id-1 34.png
35,image2D_id-1 35.png,infect2D_id-1 35.png
36,image2D_id-1 36.png,infect2D_id-1 36.png
37,image2D_id-1 37.png,infect2D_id-1 37.png
38,image2D_id-1 38.png,infect2D_id-1 38.png
39,image2D_id-1 39.png,infect2D_id-1 39.png
40,image2D_id-1 40.png,infect2D_id-1 40.png
41,image2D_id-1 41.png,infect2D_id-1 41.png
